caller;start;end;duration;recipient;origin;destination;ratepermin;costs;origincontinent;destinationcontinent;callergender;recipientgender
Paul;27.09.2014 03:16:09;27.09.2014 03:45:09;29;Elif;Montana;Burundi;1.39;40.31;United States;Africa;Male;Female
Ben;27.09.2014 03:16:17;27.09.2014 04:09:17;53;Talea;South Dakota;Denmark;0.08;4.24;United States;Europe;Male;Female
Paul;27.09.2014 03:47:32;27.09.2014 04:11:32;24;Stina;Montana;Mexico;0.07;1.68;United States;North America;Male;Female
Ben;27.09.2014 05:08:06;27.09.2014 06:28:06;80;Hugo;South Dakota;Zimbabwe;0.48;38.40;United States;Africa;Male;Male
Ben;27.09.2014 05:24:38;27.09.2014 05:35:38;11;Diana;South Dakota;Falkland Islands;0.45;4.95;United States;South America;Male;Female
Ben;27.09.2014 11:41:36;27.09.2014 12:17:36;36;Diana;South Dakota;Falkland Islands;0.45;16.20;United States;South America;Male;Female
Ben;27.09.2014 11:44:26;27.09.2014 12:17:26;33;Diana;South Dakota;Falkland Islands;0.45;14.85;United States;South America;Male;Female
Ben;27.09.2014 11:46:02;27.09.2014 12:00:02;14;Diana;South Dakota;Falkland Islands;0.45;6.30;United States;South America;Male;Female
Leni;27.09.2014 13:35:27;27.09.2014 13:58:27;23;Medina;Missouri;Hong Kong;0.09;2.07;United States;Asia;Male;Female
Ida;27.09.2014 13:37:29;27.09.2014 14:09:29;32;Valentin;Maine;Pakistan;0.36;11.52;United States;Asia;Female;Male
Ida;27.09.2014 13:37:29;27.09.2014 14:53:29;76;Valentin;Maine;Pakistan;0.36;27.36;United States;Asia;Female;Male
Leni;27.09.2014 13:44:47;27.09.2014 13:59:47;15;Medina;Missouri;Hong Kong;0.09;1.35;United States;Asia;Male;Female
Leni;27.09.2014 13:58:06;27.09.2014 14:50:06;52;Christopher;Missouri;Germany;0.07;3.64;United States;Europe;Male;Male
Clara;27.09.2014 14:06:40;27.09.2014 14:53:40;47;Jordan;Maryland;Bosnia;0.34;15.98;United States;Europe;Female;Male
Jonathan;27.09.2014 14:06:40;27.09.2014 14:53:40;47;Diana;West Virginia;Falkland Islands;0.45;21.15;United States;South America;Male;Female
Leni;27.09.2014 14:08:34;27.09.2014 14:55:34;47;Christopher;Missouri;Germany;0.07;3.29;United States;Europe;Male;Male
Leni;27.09.2014 14:08:42;27.09.2014 14:33:42;25;Medina;Missouri;Hong Kong;0.09;2.25;United States;Asia;Male;Female
Leni;27.09.2014 14:13:24;27.09.2014 14:44:24;31;Medina;Missouri;Hong Kong;0.09;2.79;United States;Asia;Male;Female
Leni;27.09.2014 14:15:51;27.09.2014 14:25:51;10;Diana;Missouri;Falkland Islands;0.45;4.50;United States;South America;Male;Female
Clara;27.09.2014 15:16:24;27.09.2014 17:00:24;104;Jordan;Maryland;Bosnia;0.34;35.36;United States;Europe;Female;Male
Jonathan;27.09.2014 15:16:24;27.09.2014 15:36:24;20;Diana;West Virginia;Falkland Islands;0.45;9.00;United States;South America;Male;Female
Ben;27.09.2014 16:45:27;27.09.2014 17:16:27;31;Diana;South Dakota;Falkland Islands;0.45;13.95;United States;South America;Male;Female
Leni;27.09.2014 16:56:35;27.09.2014 17:04:35;8;Medina;Missouri;Hong Kong;0.09;0.72;United States;Asia;Male;Female
Leni;27.09.2014 16:57:51;27.09.2014 17:04:51;7;Medina;Missouri;Hong Kong;0.09;0.63;United States;Asia;Male;Female
Leni;27.09.2014 17:17:28;27.09.2014 18:54:28;97;Medina;Missouri;Hong Kong;0.09;8.73;United States;Asia;Male;Female
Clara;27.09.2014 17:27:58;27.09.2014 18:07:58;40;Jordan;Maryland;Bosnia;0.34;13.60;United States;Europe;Female;Male
Jonathan;27.09.2014 17:27:58;27.09.2014 19:18:58;111;Diana;West Virginia;Falkland Islands;0.45;49.95;United States;South America;Male;Female
Leni;27.09.2014 17:48:25;27.09.2014 18:18:25;30;Diana;Missouri;Falkland Islands;0.45;13.50;United States;South America;Male;Female
Ben;27.09.2014 18:59:24;27.09.2014 19:57:24;58;Adelina;South Dakota;Mauritania;0.98;56.84;United States;Africa;Male;Female
Leni;27.09.2014 19:01:19;27.09.2014 19:07:19;6;Medina;Missouri;Hong Kong;0.09;0.54;United States;Asia;Male;Female
Leni;27.09.2014 19:01:31;27.09.2014 19:34:31;33;Medina;Missouri;Hong Kong;0.09;2.97;United States;Asia;Male;Female
Max;27.09.2014 19:14:35;27.09.2014 19:52:35;38;Diana;Ohio;Falkland Islands;0.45;17.10;United States;South America;Male;Female
Ida;27.09.2014 19:51:48;27.09.2014 20:36:48;45;Soraya;Maine;Algeria;0.48;21.60;United States;Africa;Female;Female
Ida;27.09.2014 19:51:48;27.09.2014 21:04:48;73;Soraya;Maine;Algeria;0.48;35.04;United States;Africa;Female;Female
Ida;27.09.2014 20:18:09;27.09.2014 20:21:09;3;Elaine;Maine;Laos;2.39;7.17;United States;Asia;Female;Female
Ida;27.09.2014 20:18:09;27.09.2014 21:30:09;72;Elaine;Maine;Laos;2.39;172.08;United States;Asia;Female;Female
Emma;27.09.2014 20:37:51;27.09.2014 21:20:51;43;Diana;New Jersey;Falkland Islands;0.45;19.35;United States;South America;Female;Female
Emma;27.09.2014 21:20:14;27.09.2014 23:15:14;115;Diana;New Jersey;Falkland Islands;0.45;51.75;United States;South America;Female;Female
Leni;27.09.2014 21:22:15;27.09.2014 21:29:15;7;Medina;Missouri;Hong Kong;0.09;0.63;United States;Asia;Male;Female
Leni;27.09.2014 21:22:29;27.09.2014 21:27:29;5;Medina;Missouri;Hong Kong;0.09;0.45;United States;Asia;Male;Female
Clara;27.09.2014 21:48:50;27.09.2014 21:57:50;9;Jordan;Maryland;Bosnia;0.34;3.06;United States;Europe;Female;Male
Jonathan;27.09.2014 21:48:50;27.09.2014 22:23:50;35;Diana;West Virginia;Falkland Islands;0.45;15.75;United States;South America;Male;Female
Leni;27.09.2014 23:47:49;28.09.2014 00:16:49;29;Anthony;Missouri;Portugal;0.09;2.61;United States;Europe;Male;Male
Max;28.09.2014 00:30:31;28.09.2014 02:10:31;100;Diana;Ohio;Falkland Islands;0.45;45.00;United States;South America;Male;Female
Max;28.09.2014 00:30:38;28.09.2014 02:16:38;106;Diana;Ohio;Falkland Islands;0.45;47.70;United States;South America;Male;Female
Leni;28.09.2014 01:08:41;28.09.2014 01:30:41;22;Medina;Missouri;Hong Kong;0.09;1.98;United States;Asia;Male;Female
Leni;28.09.2014 01:09:14;28.09.2014 01:20:14;11;Medina;Missouri;Hong Kong;0.09;0.99;United States;Asia;Male;Female
Leni;28.09.2014 01:09:40;28.09.2014 01:37:40;28;Medina;Missouri;Hong Kong;0.09;2.52;United States;Asia;Male;Female
Leni;28.09.2014 01:34:24;28.09.2014 02:24:24;50;Medina;Missouri;Hong Kong;0.09;4.50;United States;Asia;Male;Female
Leni;28.09.2014 01:35:45;28.09.2014 01:37:45;2;Steven;Missouri;Montenegro;0.31;0.62;United States;Europe;Male;Male
Ben;28.09.2014 02:56:56;28.09.2014 03:55:56;59;Talea;South Dakota;Denmark;0.08;4.72;United States;Europe;Male;Female
Paul;28.09.2014 02:57:21;28.09.2014 03:33:21;36;Elif;Montana;Burundi;1.39;50.04;United States;Africa;Male;Female
Leni;28.09.2014 03:46:48;28.09.2014 03:55:48;9;Medina;Missouri;Hong Kong;0.09;0.81;United States;Asia;Male;Female
Emma;28.09.2014 04:00:43;28.09.2014 04:06:43;6;Diana;New Jersey;Falkland Islands;0.45;2.70;United States;South America;Female;Female
Emma;28.09.2014 04:02:03;28.09.2014 04:14:03;12;Diana;New Jersey;Falkland Islands;0.45;5.40;United States;South America;Female;Female
Emma;28.09.2014 04:02:43;28.09.2014 04:03:43;1;Diana;New Jersey;Falkland Islands;0.45;0.45;United States;South America;Female;Female
Ben;28.09.2014 05:11:19;28.09.2014 05:37:19;26;Diana;South Dakota;Falkland Islands;0.45;11.70;United States;South America;Male;Female
Leni;28.09.2014 13:44:17;28.09.2014 14:07:17;23;Matthias;Missouri;Mali Republic;1.03;23.69;United States;Africa;Male;Male
Leni;28.09.2014 19:45:37;28.09.2014 21:39:37;114;Ali;Missouri;Rwanda Republic;1.16;132.24;United States;Africa;Male;Male
Leni;28.09.2014 19:49:47;28.09.2014 20:12:47;23;Medina;Missouri;Hong Kong;0.09;2.07;United States;Asia;Male;Female
Leni;28.09.2014 20:13:21;28.09.2014 21:00:21;47;Diana;Missouri;Falkland Islands;0.45;21.15;United States;South America;Male;Female
Leni;28.09.2014 20:24:19;28.09.2014 22:04:19;100;Diana;Missouri;Falkland Islands;0.45;45.00;United States;South America;Male;Female
Emma;28.09.2014 22:56:23;28.09.2014 23:11:23;15;Diana;New Jersey;Falkland Islands;0.45;6.75;United States;South America;Female;Female
Rafael;29.09.2014 00:05:14;29.09.2014 01:37:14;92;Mieke;Maine;Ireland;0.07;6.44;United States;Europe;Male;Female
Rafael;29.09.2014 00:12:35;29.09.2014 00:39:35;27;Marisa;Maine;India;0.19;5.13;United States;Asia;Male;Female
Rafael;29.09.2014 00:16:52;29.09.2014 01:37:52;81;Mieke;Maine;Ireland;0.07;5.67;United States;Europe;Male;Female
Sofia;29.09.2014 00:48:49;29.09.2014 01:16:49;28;Nike;Massachusetts;Yemen;0.97;27.16;United States;Asia;Female;Female
Maximilian;29.09.2014 00:48:49;29.09.2014 02:25:49;97;Nike;Rhode Island;Yemen;0.97;94.09;United States;Asia;Male;Female
Clara;29.09.2014 14:51:16;29.09.2014 16:37:16;106;Jordan;Maryland;Bosnia;0.34;36.04;United States;Europe;Female;Male
Jonathan;29.09.2014 14:51:16;29.09.2014 14:51:16;0;Diana;West Virginia;Falkland Islands;0.45;0.00;United States;South America;Male;Female
Clara;29.09.2014 14:58:10;29.09.2014 16:21:10;83;Malia;Maryland;Monaco;0.14;11.62;United States;Europe;Female;Female
Jonathan;29.09.2014 14:58:10;29.09.2014 16:21:10;83;Malia;West Virginia;Monaco;0.14;11.62;United States;Europe;Male;Female
Clara;29.09.2014 14:58:43;29.09.2014 15:16:43;18;Jordan;Maryland;Bosnia;0.34;6.12;United States;Europe;Female;Male
Jonathan;29.09.2014 14:58:43;29.09.2014 16:48:43;110;Diana;West Virginia;Falkland Islands;0.45;49.50;United States;South America;Male;Female
Leni;29.09.2014 15:01:10;29.09.2014 15:39:10;38;Diana;Missouri;Falkland Islands;0.45;17.10;United States;South America;Male;Female
Leni;29.09.2014 15:01:20;29.09.2014 15:16:20;15;Medina;Missouri;Hong Kong;0.09;1.35;United States;Asia;Male;Female
Leni;29.09.2014 15:01:46;29.09.2014 15:16:46;15;Medina;Missouri;Hong Kong;0.09;1.35;United States;Asia;Male;Female
Ben;29.09.2014 16:33:08;29.09.2014 16:53:08;20;Hugo;South Dakota;Zimbabwe;0.48;9.60;United States;Africa;Male;Male
Ben;29.09.2014 16:33:41;29.09.2014 16:49:41;16;Hugo;South Dakota;Zimbabwe;0.48;7.68;United States;Africa;Male;Male
Ben;29.09.2014 16:34:09;29.09.2014 16:49:09;15;Hugo;South Dakota;Zimbabwe;0.48;7.20;United States;Africa;Male;Male
Max;29.09.2014 16:37:14;29.09.2014 17:34:14;57;Diana;Ohio;Falkland Islands;0.45;25.65;United States;South America;Male;Female
Max;29.09.2014 16:48:58;29.09.2014 17:41:58;53;Anni;Ohio;Cayman Islands;0.24;12.72;United States;Oceania;Male;Female
Max;29.09.2014 17:13:10;29.09.2014 18:33:10;80;Diana;Ohio;Falkland Islands;0.45;36.00;United States;South America;Male;Female
Clara;29.09.2014 19:03:07;29.09.2014 20:46:07;103;Jordan;Maryland;Bosnia;0.34;35.02;United States;Europe;Female;Male
Jonathan;29.09.2014 19:03:07;29.09.2014 20:04:07;61;Diana;West Virginia;Falkland Islands;0.45;27.45;United States;South America;Male;Female
Paul;29.09.2014 20:09:02;29.09.2014 20:27:02;18;Frauke;Montana;French Antilles;0.62;11.16;United States;South America;Male;Female
Leni;29.09.2014 21:00:05;29.09.2014 21:24:05;24;Medina;Missouri;Hong Kong;0.09;2.16;United States;Asia;Male;Female
Clara;29.09.2014 22:17:39;29.09.2014 22:25:39;8;Jordan;Maryland;Bosnia;0.34;2.72;United States;Europe;Female;Male
Jonathan;29.09.2014 22:17:39;29.09.2014 23:44:39;87;Diana;West Virginia;Falkland Islands;0.45;39.15;United States;South America;Male;Female
Clara;29.09.2014 22:26:36;29.09.2014 23:03:36;37;Jordan;Maryland;Bosnia;0.34;12.58;United States;Europe;Female;Male
Jonathan;29.09.2014 22:26:36;29.09.2014 23:57:36;91;Diana;West Virginia;Falkland Islands;0.45;40.95;United States;South America;Male;Female
Leni;29.09.2014 22:54:23;29.09.2014 23:04:23;10;Diana;Missouri;Falkland Islands;0.45;4.50;United States;South America;Male;Female
Leni;29.09.2014 22:55:04;29.09.2014 23:03:04;8;Diana;Missouri;Falkland Islands;0.45;3.60;United States;South America;Male;Female
Ida;29.09.2014 23:57:28;30.09.2014 00:57:28;60;Jayden;Maine;Kiribati;1.16;69.60;United States;Oceania;Female;Male
Ida;29.09.2014 23:58:28;30.09.2014 00:08:28;10;Sidney;Maine;Mayotte Island;1.00;10.00;United States;Africa;Female;Male
Ida;29.09.2014 23:58:28;30.09.2014 00:19:28;21;Michael;Maine;Japan;0.07;1.47;United States;Asia;Female;Male
Ida;29.09.2014 23:58:28;30.09.2014 00:39:28;41;Sidney;Maine;Mayotte Island;1.00;41.00;United States;Africa;Female;Male
Ida;30.09.2014 01:01:16;30.09.2014 02:39:16;98;Sidney;Maine;Mayotte Island;1.00;98.00;United States;Africa;Female;Male
Ida;30.09.2014 01:01:16;30.09.2014 01:54:16;53;Sidney;Maine;Mayotte Island;1.00;53.00;United States;Africa;Female;Male
Leni;30.09.2014 01:45:45;30.09.2014 02:33:45;48;Diana;Missouri;Falkland Islands;0.45;21.60;United States;South America;Male;Female
Ida;30.09.2014 02:03:35;30.09.2014 02:32:35;29;Sidney;Maine;Mayotte Island;1.00;29.00;United States;Africa;Female;Male
Ida;30.09.2014 02:03:35;30.09.2014 03:32:35;89;Sidney;Maine;Mayotte Island;1.00;89.00;United States;Africa;Female;Male
Ida;30.09.2014 02:04:50;30.09.2014 03:49:50;105;Colin;Maine;Gabon Republic;1.05;110.25;United States;Africa;Female;Male
Ida;30.09.2014 02:04:50;30.09.2014 02:48:50;44;Colin;Maine;Gabon Republic;1.05;46.20;United States;Africa;Female;Male
Leni;30.09.2014 02:07:41;30.09.2014 02:20:41;13;Diana;Missouri;Falkland Islands;0.45;5.85;United States;South America;Male;Female
Ida;30.09.2014 02:22:58;30.09.2014 03:22:58;60;Jayden;Maine;Kiribati;1.16;69.60;United States;Oceania;Female;Male
Ida;30.09.2014 02:24:34;30.09.2014 03:00:34;36;Damian;Maine;Lithuania;0.34;12.24;United States;Europe;Female;Male
Ida;30.09.2014 02:24:34;30.09.2014 04:09:34;105;Damian;Maine;Lithuania;0.34;35.70;United States;Europe;Female;Male
Leni;30.09.2014 03:54:55;30.09.2014 04:08:55;14;Medina;Missouri;Hong Kong;0.09;1.26;United States;Asia;Male;Female
Ben;30.09.2014 05:35:23;30.09.2014 06:11:23;36;Diana;South Dakota;Falkland Islands;0.45;16.20;United States;South America;Male;Female
Ben;30.09.2014 05:55:40;30.09.2014 06:26:40;31;Diana;South Dakota;Falkland Islands;0.45;13.95;United States;South America;Male;Female
Lukas;30.09.2014 06:42:05;30.09.2014 06:51:05;9;Diana;Nevada;Falkland Islands;0.45;4.05;United States;South America;Male;Female
Lukas;30.09.2014 13:16:23;30.09.2014 14:15:23;59;Diana;Nevada;Falkland Islands;0.45;26.55;United States;South America;Male;Female
Lukas;30.09.2014 15:21:17;30.09.2014 15:31:17;10;Diana;Nevada;Falkland Islands;0.45;4.50;United States;South America;Male;Female
Ida;30.09.2014 18:38:59;30.09.2014 19:30:59;52;Dominic;Maine;Austria;0.08;4.16;United States;Europe;Female;Male
Ida;30.09.2014 18:38:59;30.09.2014 19:17:59;39;Dominic;Maine;Austria;0.08;3.12;United States;Europe;Female;Male
Ida;30.09.2014 20:23:04;30.09.2014 21:23:04;60;Levin;Maine;Bahrain;0.64;38.40;United States;Asia;Female;Male
Ida;30.09.2014 20:23:44;30.09.2014 20:43:44;20;Dominic;Maine;Austria;0.08;1.60;United States;Europe;Female;Male
Ida;30.09.2014 20:23:44;30.09.2014 22:22:44;119;Dominic;Maine;Austria;0.08;9.52;United States;Europe;Female;Male
Lukas;30.09.2014 20:44:02;30.09.2014 20:50:02;6;Diana;Nevada;Falkland Islands;0.45;2.70;United States;South America;Male;Female
Lukas;30.09.2014 20:45:09;30.09.2014 20:50:09;5;Glen;Nevada;Dominican Republic;0.17;0.85;United States;North America;Male;Male
Ida;30.09.2014 20:55:45;30.09.2014 20:59:45;4;John;Maine;Burundi;1.39;5.56;United States;Africa;Female;Male
Ida;30.09.2014 20:55:45;30.09.2014 22:04:45;69;John;Maine;Burundi;1.39;95.91;United States;Africa;Female;Male
Leni;30.09.2014 21:02:19;30.09.2014 21:52:19;50;Medina;Missouri;Hong Kong;0.09;4.50;United States;Asia;Male;Female
Lukas;30.09.2014 21:14:51;30.09.2014 22:34:51;80;Glen;Nevada;Dominican Republic;0.17;13.60;United States;North America;Male;Male
Leni;30.09.2014 21:37:52;30.09.2014 22:46:52;69;Medina;Missouri;Hong Kong;0.09;6.21;United States;Asia;Male;Female
Leni;30.09.2014 22:06:49;30.09.2014 22:45:49;39;Medina;Missouri;Hong Kong;0.09;3.51;United States;Asia;Male;Female
Leni;30.09.2014 22:22:14;30.09.2014 23:23:14;61;Glen;Missouri;Dominican Republic;0.17;10.37;United States;North America;Male;Male
Leni;30.09.2014 22:23:38;30.09.2014 22:24:38;1;Glen;Missouri;Dominican Republic;0.17;0.17;United States;North America;Male;Male
Max;30.09.2014 23:03:45;01.10.2014 00:15:45;72;Glen;Ohio;Dominican Republic;0.17;12.24;United States;North America;Male;Male
Leni;01.10.2014 00:38:31;01.10.2014 01:15:31;37;Medina;Missouri;Hong Kong;0.09;3.33;United States;Asia;Male;Female
Leni;01.10.2014 01:13:10;01.10.2014 01:47:10;34;Medina;Missouri;Hong Kong;0.09;3.06;United States;Asia;Male;Female
Ben;01.10.2014 02:01:49;01.10.2014 02:17:49;16;Glen;South Dakota;Dominican Republic;0.17;2.72;United States;North America;Male;Male
Ben;01.10.2014 02:03:22;01.10.2014 03:40:22;97;Glen;South Dakota;Dominican Republic;0.17;16.49;United States;North America;Male;Male
Emilia;01.10.2014 02:10:14;01.10.2014 03:10:14;60;Adelina;Oklahoma;Mauritania;0.98;58.80;United States;Africa;Female;Female
Emma;01.10.2014 03:23:02;01.10.2014 03:50:02;27;Glen;New Jersey;Dominican Republic;0.17;4.59;United States;North America;Female;Male
Emma;01.10.2014 03:24:29;01.10.2014 03:59:29;35;Anni;New Jersey;Cayman Islands;0.24;8.40;United States;Oceania;Female;Female
Emma;01.10.2014 03:24:41;01.10.2014 04:07:41;43;Glen;New Jersey;Dominican Republic;0.17;7.31;United States;North America;Female;Male
Leni;01.10.2014 04:06:00;01.10.2014 04:35:00;29;Medina;Missouri;Hong Kong;0.09;2.61;United States;Asia;Male;Female
Leni;01.10.2014 04:07:10;01.10.2014 04:18:10;11;Medina;Missouri;Hong Kong;0.09;0.99;United States;Asia;Male;Female
Leni;01.10.2014 04:08:03;01.10.2014 04:23:03;15;Medina;Missouri;Hong Kong;0.09;1.35;United States;Asia;Male;Female
Leni;01.10.2014 04:09:02;01.10.2014 04:40:02;31;Medina;Missouri;Hong Kong;0.09;2.79;United States;Asia;Male;Female
Leni;01.10.2014 04:17:03;01.10.2014 04:36:03;19;Medina;Missouri;Hong Kong;0.09;1.71;United States;Asia;Male;Female
Leni;01.10.2014 04:18:17;01.10.2014 05:19:17;61;Medina;Missouri;Hong Kong;0.09;5.49;United States;Asia;Male;Female
Sofia;01.10.2014 04:36:33;01.10.2014 05:18:33;42;Soraya;Massachusetts;Algeria;0.48;20.16;United States;Africa;Female;Female
Maximilian;01.10.2014 04:36:33;01.10.2014 04:44:33;8;Soraya;Rhode Island;Algeria;0.48;3.84;United States;Africa;Male;Female
Charlotte;01.10.2014 11:16:38;01.10.2014 12:16:38;60;Romeo;Alaska;Gabon Republic;1.05;63.00;United States;Africa;Female;Male
Lukas;01.10.2014 14:37:41;01.10.2014 16:01:41;84;Vivien;Nevada;Ethiopia;1.00;84.00;United States;Africa;Male;Female
Leni;01.10.2014 15:25:31;01.10.2014 15:30:31;5;Miguel;Missouri;Finland;0.09;0.45;United States;Europe;Male;Male
Ida;01.10.2014 16:07:42;01.10.2014 17:20:42;73;Jayden;Maine;Kiribati;1.16;84.68;United States;Oceania;Female;Male
Ida;01.10.2014 16:07:42;01.10.2014 17:50:42;103;Jayden;Maine;Kiribati;1.16;119.48;United States;Oceania;Female;Male
Ida;01.10.2014 16:08:23;01.10.2014 16:38:23;30;Jayden;Maine;Kiribati;1.16;34.80;United States;Oceania;Female;Male
Ida;01.10.2014 16:08:23;01.10.2014 17:35:23;87;Jayden;Maine;Kiribati;1.16;100.92;United States;Oceania;Female;Male
Ida;01.10.2014 16:10:25;01.10.2014 17:02:25;52;Jayden;Maine;Kiribati;1.16;60.32;United States;Oceania;Female;Male
Ida;01.10.2014 16:10:25;01.10.2014 16:42:25;32;Jayden;Maine;Kiribati;1.16;37.12;United States;Oceania;Female;Male
Ida;01.10.2014 16:10:59;01.10.2014 17:14:59;64;Jayden;Maine;Kiribati;1.16;74.24;United States;Oceania;Female;Male
Ida;01.10.2014 16:10:59;01.10.2014 18:05:59;115;Jayden;Maine;Kiribati;1.16;133.40;United States;Oceania;Female;Male
Ida;01.10.2014 16:12:30;01.10.2014 17:11:30;59;Jayden;Maine;Kiribati;1.16;68.44;United States;Oceania;Female;Male
Ida;01.10.2014 16:12:30;01.10.2014 17:30:30;78;Jayden;Maine;Kiribati;1.16;90.48;United States;Oceania;Female;Male
Emma;01.10.2014 20:59:13;01.10.2014 22:53:13;114;Glen;New Jersey;Dominican Republic;0.17;19.38;United States;North America;Female;Male
Leni;01.10.2014 22:36:19;01.10.2014 23:49:19;73;Medina;Missouri;Hong Kong;0.09;6.57;United States;Asia;Male;Female
Leni;01.10.2014 23:01:48;01.10.2014 23:46:48;45;Matthias;Missouri;Mali Republic;1.03;46.35;United States;Africa;Male;Male
Ida;01.10.2014 23:02:48;02.10.2014 00:26:48;84;Jayden;Maine;Kiribati;1.16;97.44;United States;Oceania;Female;Male
Ida;01.10.2014 23:02:48;01.10.2014 23:10:48;8;Jayden;Maine;Kiribati;1.16;9.28;United States;Oceania;Female;Male
Leni;01.10.2014 23:46:13;02.10.2014 00:02:13;16;Glen;Missouri;Dominican Republic;0.17;2.72;United States;North America;Male;Male
Leni;02.10.2014 00:05:05;02.10.2014 00:44:05;39;Devin;Missouri;Nigeria;0.55;21.45;United States;Africa;Male;Male
Leni;02.10.2014 00:06:00;02.10.2014 00:20:00;14;Hendrik;Missouri;Austria;0.08;1.12;United States;Europe;Male;Male
Rafael;02.10.2014 01:49:23;02.10.2014 03:28:23;99;Ceyda;Maine;Ecuador;0.29;28.71;United States;South America;Male;Female
Anna;02.10.2014 02:05:45;02.10.2014 03:02:45;57;Henriette;Massachusetts;Zimbabwe;0.48;27.36;United States;Africa;Female;Female
Leni;02.10.2014 02:09:10;02.10.2014 02:26:10;17;Medina;Missouri;Hong Kong;0.09;1.53;United States;Asia;Male;Female
Ida;02.10.2014 02:56:59;02.10.2014 04:01:59;65;Lenny;Maine;Palau;1.26;81.90;United States;Oceania;Female;Male
Ida;02.10.2014 02:56:59;02.10.2014 03:47:59;51;Lenny;Maine;Palau;1.26;64.26;United States;Oceania;Female;Male
Rafael;02.10.2014 04:31:23;02.10.2014 06:20:23;109;Verena;Maine;Slovenia;0.56;61.04;United States;Europe;Male;Female
Rafael;02.10.2014 05:33:06;02.10.2014 07:16:06;103;Verena;Maine;Slovenia;0.56;57.68;United States;Europe;Male;Female
Moritz;02.10.2014 06:18:02;02.10.2014 07:18:02;60;Glen;Louisiana;Dominican Republic;0.17;10.20;United States;North America;Male;Male
Clara;02.10.2014 15:41:07;02.10.2014 15:48:07;7;Jordan;Maryland;Bosnia;0.34;2.38;United States;Europe;Female;Male
Jonathan;02.10.2014 15:41:07;02.10.2014 16:10:07;29;Glen;West Virginia;Dominican Republic;0.17;4.93;United States;North America;Male;Male
Ida;02.10.2014 15:41:38;02.10.2014 15:58:38;17;Levin;Maine;Bahrain;0.64;10.88;United States;Asia;Female;Male
Ida;02.10.2014 15:41:38;02.10.2014 17:39:38;118;Levin;Maine;Bahrain;0.64;75.52;United States;Asia;Female;Male
Clara;02.10.2014 16:28:53;02.10.2014 16:56:53;28;Anni;Maryland;Cayman Islands;0.24;6.72;United States;Oceania;Female;Female
Jonathan;02.10.2014 16:28:53;02.10.2014 16:56:53;28;Anni;West Virginia;Cayman Islands;0.24;6.72;United States;Oceania;Male;Female
Lukas;02.10.2014 17:13:13;02.10.2014 18:51:13;98;Glen;Nevada;Dominican Republic;0.17;16.66;United States;North America;Male;Male
Lukas;02.10.2014 17:17:18;02.10.2014 17:21:18;4;Glen;Nevada;Dominican Republic;0.17;0.68;United States;North America;Male;Male
Lukas;02.10.2014 17:18:32;02.10.2014 17:46:32;28;Glen;Nevada;Dominican Republic;0.17;4.76;United States;North America;Male;Male
Max;02.10.2014 19:43:50;02.10.2014 21:19:50;96;Glen;Ohio;Dominican Republic;0.17;16.32;United States;North America;Male;Male
Rafael;02.10.2014 20:23:49;02.10.2014 21:45:49;82;Paulina;Maine;Niue;1.82;149.24;United States;Oceania;Male;Female
Hannes;02.10.2014 20:46:56;02.10.2014 22:02:56;76;Glen;Kentucky;Dominican Republic;0.17;12.92;United States;North America;Male;Male
Hannes;02.10.2014 20:46:56;02.10.2014 22:28:56;102;Glen;Kentucky;Dominican Republic;0.17;17.34;United States;North America;Male;Male
Lisa;02.10.2014 20:46:56;02.10.2014 21:03:56;17;Glen;Kansas;Dominican Republic;0.17;2.89;United States;North America;Female;Male
Lisa;02.10.2014 20:46:56;02.10.2014 21:13:56;27;Glen;Kansas;Dominican Republic;0.17;4.59;United States;North America;Female;Male
Emma;02.10.2014 20:46:58;02.10.2014 21:58:58;72;Glen;New Jersey;Dominican Republic;0.17;12.24;United States;North America;Female;Male
Lukas;02.10.2014 20:54:51;02.10.2014 21:07:51;13;Eray;Nevada;Gambia;0.58;7.54;United States;Africa;Male;Male
Anna;02.10.2014 20:55:43;02.10.2014 21:07:43;12;Soraya;Massachusetts;Algeria;0.48;5.76;United States;Africa;Female;Female
Anna;02.10.2014 20:56:21;02.10.2014 21:18:21;22;Soraya;Massachusetts;Algeria;0.48;10.56;United States;Africa;Female;Female
Anna;02.10.2014 20:57:14;02.10.2014 22:04:14;67;Henriette;Massachusetts;Zimbabwe;0.48;32.16;United States;Africa;Female;Female
Mila;02.10.2014 21:00:27;02.10.2014 22:11:27;71;Glen;Alaska;Dominican Republic;0.17;12.07;United States;North America;Male;Male
Mila;02.10.2014 21:00:27;02.10.2014 21:31:27;31;Glen;Alaska;Dominican Republic;0.17;5.27;United States;North America;Male;Male
Mila;02.10.2014 21:00:53;02.10.2014 21:26:53;26;Glen;Alaska;Dominican Republic;0.17;4.42;United States;North America;Male;Male
Mila;02.10.2014 21:04:07;02.10.2014 22:04:07;60;Glen;Alaska;Dominican Republic;0.17;10.20;United States;North America;Male;Male
Anna;02.10.2014 21:04:42;02.10.2014 21:10:42;6;Henriette;Massachusetts;Zimbabwe;0.48;2.88;United States;Africa;Female;Female
Anna;02.10.2014 21:05:45;02.10.2014 21:09:45;4;Henriette;Massachusetts;Zimbabwe;0.48;1.92;United States;Africa;Female;Female
